name,system
The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,PlayStation 2
The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,GameCube
Asterix and Obelix Take on Caesar,PlayStation
Asterix and Obelix Take on Caesar,Game Boy Color
Asterix and Obelix Take on Caesar,PC
Pursuit Force,PlayStation Portable
Pursuit Force,PlayStation Network (PSP)
Deep Fighter,Dreamcast
Deep Fighter,PC
Alien Cabal,PC
Celtic Legends,Amiga
Celtic Legends,Atari ST
Celtic Legends,PC
Tiny Toon Adventures: The Great Beanstalk,PlayStation
Battlecorps,Sega CD
Beyond Oasis,Genesis
Beyond Oasis,Wii Shop
Beyond Oasis,PC
The Outforce,PC
Project: Starfighter,PC
Fantastic Fossils,PC
USA Racer,PlayStation 2
USA Racer,PlayStation
USA Racer,PC
Dodonpachi Dai-Ou-Jou,PlayStation 2
Dodonpachi Dai-Ou-Jou,Arcade
Dodonpachi Dai-Ou-Jou,iPhone
Sid Meier's Civilization II,Mac
Sid Meier's Civilization II,PlayStation
Sid Meier's Civilization II,N-Gage
Sid Meier's Civilization II,PC
Holotz's Castle,PC
Giddy 3: The Retro Eggsperience,PC
The Animation Classics Pack,Amiga
Spellcasting 301: Spring Break,PC
Fire Emblem: Path of Radiance,GameCube
Yu-Gi-Oh! Forbidden Memories,PlayStation
Star Trek: Klingon,Mac
Star Trek: Klingon,PC
Daytona USA,Dreamcast
Elvira: The Arcade Game,Amiga
Elvira: The Arcade Game,Atari ST
Elvira: The Arcade Game,Commodore 64
Elvira: The Arcade Game,PC
Creature Shock,PlayStation
Creature Shock,3DO
Creature Shock,CD-i
Creature Shock,Saturn
Creature Shock,PC
AFL '98,PC
Kingdom Under Fire: The Crusaders,Xbox
Ultima VII: The Black Gate,Super Nintendo Entertainment System
Ultima VII: The Black Gate,Mac
Ultima VII: The Black Gate,PC
Commander Keen 2: The Earth Explodes,PC
X-Men: The Official Game,Game Boy Advance
X-Men: The Official Game,PlayStation 2
X-Men: The Official Game,Xbox 360
X-Men: The Official Game,GameCube
X-Men: The Official Game,Xbox
X-Men: The Official Game,Nintendo DS
X-Men: The Official Game,Xbox Live Marketplace
X-Men: The Official Game,PC
Harpoon,Amiga
Harpoon,Mac
Harpoon,PC
Super Thunder Blade,Genesis
Super Thunder Blade,PlayStation Portable
Super Thunder Blade,PlayStation 2
Super Thunder Blade,Xbox 360
Super Thunder Blade,PlayStation 3
Super Thunder Blade,Wii Shop
Super Thunder Blade,PC
The Black Mirror,PC
The Revenge of Shinobi,Genesis
The Revenge of Shinobi,Wii Shop
The Revenge of Shinobi,PlayStation Network (PS3)
The Revenge of Shinobi,PC
Fireworks Extravaganza,PC
David Douillet Judo,PlayStation 2
David Douillet Judo,GameCube
David Douillet Judo,Xbox
David Douillet Judo,PC
Contraption Zack,Amiga
Contraption Zack,PC
Natural Selection,PC
Beanotown Racing,PC
Street Fighter II: The World Warrior,Amiga
Street Fighter II: The World Warrior,Game Boy
Street Fighter II: The World Warrior,Sega Master System
Street Fighter II: The World Warrior,Super Nintendo Entertainment System
Street Fighter II: The World Warrior,Atari ST
Street Fighter II: The World Warrior,Commodore 64
Street Fighter II: The World Warrior,ZX Spectrum
Street Fighter II: The World Warrior,TurboGrafx-16
